X,Y,Z
192196.0,7401266.0,558.445229144
192189.0,7401355.0,557.626182896
192122.0,7401429.0,557.922602018
192108.0,7401522.0,557.649288226
192119.0,7401621.0,557.328541027
192181.0,7401694.0,556.302135538
192259.0,7401755.0,555.639138641
192310.0,7401838.0,555.20669939
192321.0,7401932.0,554.613359034
192294.0,7402029.0,554.540608643
192306.0,7402121.0,554.200465405
192359.0,7402205.0,553.207010692
192409.0,7402291.0,552.612945562
192438.0,7402387.0,552.005559738
192457.0,7402483.0,551.590725749
192443.0,7402583.0,551.196517916
192430.0,7402682.0,550.491594088
192415.0,7402780.0,550.116964384
192392.0,7402878.0,549.850889942
192370.0,7402975.0,549.638061753
192333.0,7403065.0,549.053751522
192265.0,7403138.0,549.912020645
192217.0,7403223.0,549.999115048
192200.0,7403319.0,549.321314018
192270.0,7403391.0,549.027407239
192340.0,7403462.0,548.02232475
192392.0,7403533.0,546.848174801
192312.0,7403592.0,547.832073818
192235.0,7403656.0,548.609689533
192175.0,7403735.0,549.147007415
192158.0,7403833.0,549.295329201
192142.0,7403932.0,548.983836961
192143.0,7404031.0,548.294103534
192155.0,7404131.0,547.325825662
192200.0,7404213.0,547.067893468
192278.0,7404276.0,545.978898807
192355.0,7404339.0,544.751061672
192382.0,7404428.0,544.420926365
192353.0,7404514.0,544.31153557
192279.0,7404581.0,544.602571464
192204.0,7404647.0,544.787135941
192175.0,7404736.0,544.695017026
192172.0,7404836.0,544.109256892
192170.0,7404936.0,543.473278194
192154.0,7405034.0,542.666008773
192129.0,7405131.0,542.986271067
192111.0,7405229.0,542.478984909
192094.0,7405328.0,541.893209315
192074.0,7405425.0,541.474685692
192076.0,7405525.0,541.111003038
192072.0,7405619.0,541.126121446
191973.0,7405624.0,540.675414202
191876.0,7405600.0,540.561667097
191779.0,7405576.0,540.81789973
191679.0,7405585.0,540.671233678
191609.0,7405653.0,540.229201651
191544.0,7405730.0,539.922416703
191479.0,7405805.0,539.791210266
191402.0,7405869.0,539.754713079
191326.0,7405934.0,539.408304652
191246.0,7405903.0,539.410523133
